docid,term,count
11568_txt_earn,0,1
7521_txt_trade,0,1
7626_txt_trade,0,1
10310_txt_acq,1,1
10825_txt_trade,1,2
11225_txt_trade,1,2
11639_txt_crude,1,3
11717_txt_earn,1,1
11771_txt_trade,1,1
11802_txt_earn,1,1
11817_txt_interest,1,1
11822_txt_acq,1,1
11831_txt_interest,1,1
11837_txt_acq,1,1
11848_txt_interest,1,1
11855_txt_earn,1,1
11858_txt_interest,1,1
11861_txt_interest,1,1
11867_txt_acq,1,1
11873_txt_acq,1,1
11878_txt_earn,1,1
11884_txt_earn,1,1
11888_txt_acq,1,1
11891_txt_acq,1,1
11892_txt_acq,1,1
11900_txt_interest,1,1
11904_txt_earn,1,1
11907_txt_interest,1,1
11909_txt_acq,1,1
11913_txt_interest,1,1
11915_txt_acq,1,1
11916_txt_acq,1,1
11920_txt_acq,1,1
11923_txt_acq,1,1
11933_txt_earn,1,1
11934_txt_interest,1,1
11940_txt_interest,1,1
11941_txt_interest,1,1
11954_txt_acq,1,1
11960_txt_interest,1,1
11962_txt_acq,1,1
11979_txt_earn,1,1
11980_txt_earn,1,1
11981_txt_acq,1,1
11982_txt_acq,1,1
11989_txt_interest,1,1
12010_txt_interest,1,2
12016_txt_interest,1,1
12027_txt_interest,1,1
12035_txt_earn,1,1
12040_txt_interest,1,1
12042_txt_earn,1,1
12044_txt_earn,1,1
12045_txt_earn,1,1
12063_txt_earn,1,1
12073_txt_interest,1,1
12084_txt_interest,1,1
12087_txt_acq,1,1
12091_txt_interest,1,1
12094_txt_acq,1,1
12101_txt_interest,1,1
12102_txt_interest,1,1
12112_txt_interest,1,1
12122_txt_interest,1,3
12125_txt_interest,1,1
12131_txt_interest,1,1
12132_txt_acq,1,1
12133_txt_acq,1,1
12147_txt_interest,1,1
12172_txt_acq,1,1
12173_txt_acq,1,1
12176_txt_earn,1,1
12186_txt_acq,1,1
12197_txt_interest,1,1
12201_txt_earn,1,1
12202_txt_earn,1,1
12203_txt_acq,1,1
12204_txt_earn,1,1
12211_txt_earn,1,1
12221_txt_acq,1,1
12229_txt_interest,1,1
12231_txt_earn,1,1
12235_txt_interest,1,1
12240_txt_earn,1,1
12246_txt_interest,1,1
12250_txt_acq,1,1
12258_txt_earn,1,1
12259_txt_interest,1,1
12260_txt_interest,1,1
12266_txt_earn,1,1
12274_txt_interest,1,1
12278_txt_interest,1,1
12286_txt_crude,1,1
12294_txt_earn,1,1
12302_txt_interest,1,1
12305_txt_acq,1,1
12309_txt_acq,1,1
12316_txt_interest,1,1
12318_txt_earn,1,1
12333_txt_interest,1,1
12336_txt_interest,1,1
12353_txt_earn,1,1
12374_txt_acq,1,1
12380_txt_earn,1,1
12383_txt_earn,1,1
12389_txt_earn,1,1
12514_txt_interest,1,1
12629_txt_acq,1,1
12658_txt_earn,1,1
12677_txt_acq,1,1
12732_txt_interest,1,1
13059_txt_earn,1,1
13062_txt_earn,1,1
13256_txt_crude,1,7
